,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
1171,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,660.0,,,,,80.0,107.0,,,
1172,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,680.0,,,,,79.8,107.0,,,
1173,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,700.0,,,,,79.6,107.0,,,
1174,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,720.0,,,,,79.3,107.0,,,
1175,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,740.0,,,,,79.0,107.0,,,
1176,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,760.0,,,,,78.7,107.0,,,
1177,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,780.0,,,,,78.4,107.0,,,
1178,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,800.0,,,,,78.1,107.0,,,
1179,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,820.0,,,,,77.7,107.0,,,
1180,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,840.0,,,,,77.4,107.0,,,
1181,Co1 Cr1 Fe1 Ni1 Ti0.3,FCC,WROUGHT,FCC,90.0,,7.8,263.0,T,25.0,540.0,772.0,60.0,,,214.0,,,
1182,Co1 Cr1 Fe1 Ni1 Ti0.3,FCC,WROUGHT,FCC,216.0,,7.8,185.0,,,,,,,,214.0,,,
1183,Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,FCC,WROUGHT,FCC,263.0,,7.8,197.0,,,,,,,,213.0,,,
1184,Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,FCC,WROUGHT,FCC,90.0,,7.8,308.0,T,25.0,586.0,875.0,46.0,,,213.0,,,
1185,Cr0.5 Fe0.5 Ni1 Ti0.15,FCC,WROUGHT,FCC,90.0,,7.8,335.0,T,25.0,672.0,982.0,37.0,,,212.0,,,
1186,Cr0.5 Fe0.5 Ni1 Ti0.15,FCC,WROUGHT,FCC,324.0,,7.8,204.0,,,,,,,,212.0,,,
1187,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,20.0,573.0,,,,,136.0,100.0,5.0,
1188,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,100.0,486.0,,,,,136.0,100.0,5.0,
1189,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,200.0,378.0,,,,,136.0,100.0,5.0,
1190,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,300.0,314.0,,,,,136.0,100.0,5.0,
1191,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,400.0,232.0,,,,,136.0,100.0,5.0,
1192,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,600.0,222.0,,,,,136.0,100.0,5.0,
1193,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,800.0,210.0,,,,,136.0,100.0,5.0,
1194,Nb1 Ta1 Ti1,BCC,WROUGHT,BCC,,,10.0,,C,1000.0,160.0,,,,,136.0,100.0,5.0,
1195,Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,,,8.2,,C,20.0,1152.0,,,,,120.0,180.0,5.0,
1196,Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,,,8.2,,C,200.0,740.0,,,,,120.0,180.0,5.0,
1197,Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,,,8.2,,C,100.0,740.0,,,,,120.0,180.0,5.0,
1198,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.0,,C,20.0,1210.0,,,,,179.0,80.0,5.0,
1199,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.0,,C,60.0,1071.0,,,,,179.0,80.0,5.0,
1200,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.0,,C,100.0,1029.0,,,,,179.0,80.0,5.0,
1201,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.0,,C,200.0,868.0,,,,,179.0,80.0,5.0,
1202,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.0,,C,300.0,732.0,,,,,179.0,80.0,5.0,
1203,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.0,,C,400.0,685.0,,,,,179.0,80.0,5.0,
1204,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.0,,C,600.0,593.0,,,,,179.0,80.0,5.0,
1205,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.0,,C,800.0,564.0,,,,,179.0,80.0,5.0,
1206,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.0,,C,1000.0,539.0,,,,,179.0,80.0,5.0,
1207,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,20.0,1054.0,,,,,198.0,90.0,5.0,
1208,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,100.0,968.0,,,,,198.0,90.0,5.0,
1209,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,200.0,869.0,,,,,198.0,90.0,5.0,
1210,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,300.0,754.0,,,,,198.0,90.0,5.0,
1211,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,400.0,627.0,,,,,198.0,90.0,5.0,
1212,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,600.0,596.0,,,,,198.0,90.0,5.0,
1213,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,800.0,564.0,,,,,198.0,90.0,5.0,
1214,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,1000.0,459.0,,,,,198.0,90.0,5.0,
1215,Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.9,,C,20.0,860.0,,,,,119.0,160.0,5.0,
1216,Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.9,,C,20.0,834.0,,,,,119.0,160.0,5.0,
