,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa)
363,Mo0.1 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,6.6,C,25.0,932.0,102.0
364,Mo0.3 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,6.8,C,25.0,1312.0,112.0
365,Mo0.5 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,6.9,C,25.0,1301.0,122.0
366,Mo0.7 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,7.1,C,25.0,1436.0,130.0
367,Mo1 Nb0.769 Ti0.769 V0.231 Zr0.769,BCC,ANNEAL,7.4,C,25.0,1603.0,153.0
368,Mo1 Nb0.667 Ti0.667 V0.2 Zr0.667,BCC,ANNEAL,7.5,C,25.0,1576.0,159.0
369,Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,6.5,C,25.0,866.0,96.0
370,Nb1 Ti1 V1 Zr1,BCC,ANNEAL,6.5,C,25.0,1104.0,100.0
371,Mo1 Nb1 Ti1 V0.25 Zr1,BCC,CAST,7.3,C,25.0,1776.0,142.0
372,Mo1 Nb1 Ti1 V0.5 Zr1,BCC,CAST,7.2,C,25.0,1647.0,142.0
373,Mo1 Nb1 Ti1 V0.75 Zr1,BCC,CAST,7.2,C,25.0,1708.0,141.0
374,Mo1 Nb1 Ti1 V1 Zr1,BCC,CAST,7.1,C,25.0,1786.0,141.0
375,Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,BCC,CAST,7.1,C,25.0,1735.0,140.0
376,Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,BCC,CAST,7.0,C,25.0,1538.0,139.0
377,Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,BCC,CAST,6.9,C,25.0,1418.0,138.0
378,Mo1 Nb1 Ti1 Zr1,BCC,CAST,7.3,C,25.0,1592.0,143.0
391,Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,BCC,CAST,7.1,C,25.0,1465.0,174.0
394,Cu1 Mn1 Ni1 Zn0.333,FCC,CAST,8.3,C,25.0,215.0,167.0
395,Cu1 Mn1 Ni1 Zn0.25,FCC,CAST,8.3,C,25.0,140.0,169.0
398,Al0.053 Cu1 Mn1 Ni1,FCC,CAST,8.3,C,25.0,330.0,173.0
400,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,7.6,C,1000.0,150.0,189.0
401,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,7.6,C,25.0,388.0,189.0
402,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,7.6,C,300.0,411.0,189.0
403,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,7.6,C,500.0,421.0,189.0
404,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,7.6,C,700.0,426.0,189.0
405,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,7.6,C,900.0,230.0,189.0
406,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,7.6,C,1100.0,80.0,189.0
407,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,6.3,C,1000.0,116.0,156.0
408,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,6.3,C,1100.0,79.0,156.0
409,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,6.3,C,25.0,1620.0,156.0
410,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,6.3,C,600.0,805.0,156.0
411,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,6.3,C,500.0,1120.0,156.0
412,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,6.3,C,700.0,567.0,156.0
413,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,6.3,C,900.0,214.0,156.0
414,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,6.3,C,800.0,302.0,156.0
422,Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,6.6,C,400.0,1080.0,170.0
423,Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,6.6,C,600.0,1060.0,170.0
424,Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,6.6,C,800.0,860.0,170.0
425,Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,6.6,C,1000.0,594.0,170.0
426,Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,6.6,C,1200.0,105.0,170.0
427,Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,6.6,C,600.0,930.0,170.0
428,Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,6.6,C,800.0,875.0,170.0
429,Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,6.6,C,1000.0,550.0,170.0
430,Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,6.6,C,1200.0,150.0,170.0
431,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,6.0,C,400.0,1070.0,189.0
432,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,6.0,C,600.0,1020.0,189.0
433,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,6.0,C,800.0,875.0,189.0
434,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,6.0,C,1000.0,375.0,189.0
435,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,6.0,C,1200.0,100.0,189.0
436,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,6.5,C,600.0,520.0,151.0
437,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,6.5,C,800.0,500.0,151.0
438,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,6.5,C,1000.0,540.0,151.0
439,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,6.5,C,1200.0,200.0,151.0
469,Hf1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,8.1,C,25.0,1253.0,95.0
470,Hf1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,8.1,C,25.0,1140.0,95.0
471,Hf1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,8.1,C,25.0,1120.0,95.0
479,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,10.4,C,60.0,795.0,122.0
480,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,10.4,C,100.0,765.0,122.0
481,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,10.4,C,200.0,650.0,122.0
482,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,10.4,C,300.0,590.0,122.0
483,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,10.4,C,25.0,845.0,122.0
490,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-268.8,2250.0,100.0
491,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-268.8,2210.0,100.0
492,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-196.0,1880.0,100.0
493,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-196.0,1750.0,100.0
494,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-153.0,1640.0,100.0
495,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-153.0,1550.0,100.0
496,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-103.0,1380.0,100.0
497,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-103.0,1370.0,100.0
498,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-43.0,1200.0,100.0
499,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-43.0,1180.0,100.0
500,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,72.0,1040.0,100.0
501,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,72.0,1020.0,100.0
502,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,25.0,1150.0,100.0
503,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,25.0,1100.0,100.0
504,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-268.8,2390.0,100.0
505,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-196.0,1920.0,100.0
506,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-153.0,1370.0,100.0
507,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-103.0,1250.0,100.0
508,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,-43.0,1020.0,100.0
509,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,72.0,640.0,100.0
510,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,C,25.0,890.0,100.0
520,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,9.0,C,1000.0,368.0,126.0
521,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,9.0,C,1200.0,60.0,126.0
522,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,9.0,C,25.0,1260.0,126.0
523,Hf0.787 Nb0.142 Ta0.142 Ti1 Zr0.787,BCC,WROUGHT,8.5,T,25.0,540.0,92.0
540,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,T,25.0,1900.0,107.0
543,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,9.9,T,25.0,830.0,107.0
544,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,9.9,T,25.0,1202.0,107.0
546,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,9.9,T,25.0,1145.0,107.0
547,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,9.9,T,25.0,958.0,107.0
548,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,9.9,T,25.0,944.0,107.0
549,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,9.9,T,25.0,940.0,107.0
550,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,9.9,T,25.0,940.0,107.0
551,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,25.0,905.0,107.0
552,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,25.0,890.0,107.0
553,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,T,25.0,828.0,107.0
554,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,T,25.0,827.0,107.0
555,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,T,25.0,820.0,107.0
556,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,T,25.0,803.0,107.0
557,Al0.2 Mo1 Ta1 Ti1 V1,BCC,CAST,9.3,C,25.0,1021.0,183.0
558,Al0.6 Mo1 Ta1 Ti1 V1,BCC,CAST,8.7,C,25.0,962.0,173.0
560,Mo1 Ta1 Ti1 V1,BCC,CAST,9.6,C,25.0,1221.0,189.0
565,Hf1 Nb1 Ta1 Zr1,BCC,CAST,11.1,C,25.0,1315.0,105.0
569,Hf1 Ta1 Ti1 Zr1,BCC,CAST,10.2,T,25.0,1500.0,107.0
570,Mo1 Nb1 Ta1 Ti0.25 W1,BCC,CAST,13.1,C,25.0,1109.0,242.0
571,Mo1 Nb1 Ta1 Ti0.5 W1,BCC,CAST,12.6,C,25.0,1211.0,234.0
572,Mo1 Nb1 Ta1 Ti0.75 W1,BCC,CAST,12.2,C,25.0,1304.0,228.0
573,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,C,25.0,1455.0,222.0
574,Mo1 Nb1 Ta1 W1,BCC,CAST,13.7,C,25.0,996.0,250.0
575,Mo1 Nb1 Ta1 Ti1 V1,BCC,CAST,9.4,C,25.0,1400.0,171.0
576,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.0,C,600.0,973.0,209.0
577,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.0,C,800.0,791.3,209.0
578,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.0,C,1000.0,752.8,209.0
579,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.0,C,1200.0,659.0,209.0
580,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.0,C,25.0,1515.0,209.0
581,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,C,600.0,689.0,222.0
582,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,C,800.0,674.0,222.0
583,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,C,1000.0,620.0,222.0
